path,campaign,rows,n_columns,size_kb,mtime,config_sidecar,has_splits_hash,has_coordinate,status_counts
_archive_20260714_001559/a1/a1_german_0.parquet,a1,35,14,9.3,2026-07-14T17:15:39,False,False,False,"{""OPTIMAL"": 35}"
_archive_20260714_001559/a1/a1_gmsc_0.parquet,a1,50,14,9.6,2026-07-14T17:15:39,False,False,False,"{""OPTIMAL"": 50}"
_archive_20260714_001559/a1/a1_hmeq_0.parquet,a1,50,14,9.7,2026-07-14T17:15:39,False,False,False,"{""OPTIMAL"": 50}"
_archive_20260714_001559/a1/a1_taiwan_0.parquet,a1,115,14,11.8,2026-07-14T17:15:39,False,False,False,"{""OPTIMAL"": 115}"
_archive_20260714_001559/fmtau/fmtau_german_0.parquet,fmtau,63,17,11.4,2026-07-14T17:15:39,False,False,False,"{""INFEASIBLE"": 34, ""OPTIMAL"": 29}"
_archive_20260714_001559/fmtau/fmtau_gmsc_0.parquet,fmtau,90,17,12.5,2026-07-14T17:15:39,False,False,False,"{""INFEASIBLE"": 45, ""OPTIMAL"": 45}"
_archive_20260714_001559/fmtau/fmtau_hmeq_0.parquet,fmtau,90,17,12.2,2026-07-14T17:15:39,False,False,False,"{""INFEASIBLE"": 49, ""OPTIMAL"": 41}"
_archive_20260714_001559/fmtau/fmtau_taiwan_0.parquet,fmtau,207,17,15.5,2026-07-14T17:15:39,False,False,False,"{""INFEASIBLE"": 96, ""OPTIMAL"": 111}"
_archive_20260714_001559/maxbins/maxbins_german_auto_0.parquet,maxbins,56,17,11.7,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_german_free_0.parquet,maxbins,56,17,12.0,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_gmsc_auto_0.parquet,maxbins,80,17,13.2,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_gmsc_free_0.parquet,maxbins,80,17,13.3,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_hmeq_auto_0.parquet,maxbins,80,17,12.9,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_hmeq_free_0.parquet,maxbins,80,17,13.6,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_taiwan_auto_0.parquet,maxbins,184,17,16.9,2026-07-14T17:15:39,False,False,False,
_archive_20260714_001559/maxbins/maxbins_taiwan_free_0.parquet,maxbins,184,17,17.9,2026-07-14T17:15:39,False,False,False,
_archive_20260715_130919/a1/a1_german_0.parquet,a1,280,14,17.0,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 280}"
_archive_20260715_130919/a1/a1_gmsc_0.parquet,a1,400,14,19.4,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 400}"
_archive_20260715_130919/a1/a1_hmeq_0.parquet,a1,400,14,22.0,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 400}"
_archive_20260715_130919/a1/a1_synthetic-spike_0.parquet,a1,80,14,11.2,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 80}"
_archive_20260715_130919/a1/a1_taiwan_0.parquet,a1,920,14,39.3,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 920}"
_archive_20260715_130919/a1_fmtau/fmtau_german_lam0p05_0.parquet,a1_fmtau,630,18,26.3,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 348, ""OPTIMAL"": 282}"
_archive_20260715_130919/a1_fmtau/fmtau_german_lam0p1_0.parquet,a1_fmtau,630,18,26.6,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 334, ""OPTIMAL"": 296}"
_archive_20260715_130919/a1_fmtau/fmtau_german_lam0p2_0.parquet,a1_fmtau,630,18,27.5,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 295, ""OPTIMAL"": 335}"
_archive_20260715_130919/a1_fmtau/fmtau_german_lam0p4_0.parquet,a1_fmtau,630,18,27.9,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 277, ""OPTIMAL"": 353}"
_archive_20260715_130919/a1_fmtau/fmtau_gmsc_lam0p05_0.parquet,a1_fmtau,900,18,33.5,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 451, ""OPTIMAL"": 449}"
_archive_20260715_130919/a1_fmtau/fmtau_gmsc_lam0p1_0.parquet,a1_fmtau,900,18,33.9,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 451, ""OPTIMAL"": 449}"
_archive_20260715_130919/a1_fmtau/fmtau_gmsc_lam0p2_0.parquet,a1_fmtau,900,18,35.3,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 389, ""OPTIMAL"": 511}"
_archive_20260715_130919/a1_fmtau/fmtau_gmsc_lam0p4_0.parquet,a1_fmtau,900,18,35.8,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 371, ""OPTIMAL"": 529}"
_archive_20260715_130919/a1_fmtau/fmtau_hmeq_lam0p05_0.parquet,a1_fmtau,900,18,33.3,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 498, ""OPTIMAL"": 402}"
_archive_20260715_130919/a1_fmtau/fmtau_hmeq_lam0p1_0.parquet,a1_fmtau,900,18,33.3,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 496, ""OPTIMAL"": 404}"
_archive_20260715_130919/a1_fmtau/fmtau_hmeq_lam0p2_0.parquet,a1_fmtau,900,18,35.1,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 428, ""OPTIMAL"": 472}"
_archive_20260715_130919/a1_fmtau/fmtau_hmeq_lam0p4_0.parquet,a1_fmtau,900,18,36.0,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 385, ""OPTIMAL"": 515}"
_archive_20260715_130919/a1_fmtau/fmtau_taiwan_lam0p05_0.parquet,a1_fmtau,2070,18,65.0,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 1046, ""OPTIMAL"": 1024}"
_archive_20260715_130919/a1_fmtau/fmtau_taiwan_lam0p1_0.parquet,a1_fmtau,2070,18,66.6,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 994, ""OPTIMAL"": 1076}"
